year,month,day,mean_t
2012,5,1,11.166666666666666
2012,5,2,18.38888888888889
2012,5,3,22.5
2012,5,4,18.33333333333333
2012,5,5,13.555555555555555
2012,5,6,13.944444444444445
2012,5,7,15.0
2012,5,8,15.11111111111111
2012,5,9,12.166666666666666
2012,5,10,12.77777777777778
2012,5,11,17.22222222222222
2012,5,12,17.555555555555557
2012,5,13,15.22222222222222
2012,5,14,16.77777777777778
2012,5,15,21.22222222222222
2012,5,16,15.0
2012,5,17,15.27777777777778
2012,5,18,20.72222222222222
2012,5,19,23.944444444444443
2012,5,20,25.666666666666668
2012,5,21,16.61111111111111
2012,5,22,13.0
2012,5,23,18.77777777777778
2012,5,24,24.61111111111111
2012,5,25,20.444444444444443
2012,5,26,18.111111111111107
2012,5,27,23.833333333333336
2012,5,28,26.166666666666664
2012,5,29,20.222222222222225
2012,5,30,14.72222222222222
2012,5,31,10.88888888888889
